PROGRESS 3500006268 apis= 964 ready= False {'rip': '0x18021f3f7', 'rsp': '0x7000ffde88', 'rbp': '0x16d647014', 'rax': '0x161f64ce', 'rbx': '0xb9867f6f', 'rcx': '0x12624a0', 'rdx': '0x1802911af', 'rsi': '0x161f64cf', 'rdi': '0x0', 'eflags': '0x202'}
PROGRESS 3510006268 apis= 964 ready= False {'rip': '0x18021f7e1', 'rsp': '0x7000ffde88', 'rbp': '0x16d647014', 'rax': '0xffffffc9ccad64d2', 'rbx': '0xb9867f6f', 'rcx': '0x127302e', 'rdx': '0x1802911af', 'rsi': '0x5004bb6d38', 'rdi': '0x0', 'eflags': '0x202'}
PROGRESS 3520006268 apis= 964 ready= False {'rip': '0x18021ff4f', 'rsp': '0x7000ffde98', 'rbp': '0x30', 'rax': '0x8a1fc5df', 'rbx': '0xb9867f6f', 'rcx': '0x16d647014', 'rdx': '0x1802911af', 'rsi': '0x5004bf9b6c', 'rdi': '0x0', 'eflags': '0x202'}
PROGRESS 3530006268 apis= 964 ready= False {'rip': '0x18021eb3a', 'rsp': '0x7000ffde90', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x8a1fc5de', 'rdx': '0x1802911af', 'rsi': '0x5004c3c9a0', 'rdi': '0xffffffff75e03a26', 'eflags': '0x206'}
PROGRESS 3540006268 apis= 964 ready= False {'rip': '0x180221328', 'rsp': '0x7000ffde98', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x12a52d5', 'rdx': '0x1802911af', 'rsi': '0x5004c7f7d8', 'rdi': '0x0', 'eflags': '0x213'}
PROGRESS 3550006268 apis= 964 ready= False {'rip': '0x1802207bc', 'rsp': '0x7000ffde80', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x12b5e62', 'rdx': '0x1802911af', 'rsi': '0x161f64cf', 'rdi': '0x0', 'eflags': '0x206'}
PROGRESS 3560006268 apis= 964 ready= False {'rip': '0x18021f374', 'rsp': '0x7000ffde78', 'rbp': '0x16d647014', 'rax': '0x975b3483', 'rbx': '0xb9867f6f', 'rcx': '0x12c69ef', 'rdx': '0x1802911af', 'rsi': '0x161f64cf', 'rdi': '0x0', 'eflags': '0xa86'}
PROGRESS 3570006268 apis= 964 ready= False {'rip': '0x18021f416', 'rsp': '0x7000ffde98', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x3ed61ba8', 'rdx': '0x1802911af', 'rsi': '0x1', 'rdi': '0x0', 'eflags': '0x202'}
PROGRESS 3580006268 apis= 964 ready= False {'rip': '0x18021f7f5', 'rsp': '0x7000ffde90', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x76bf5d65', 'rdx': '0x1802911af', 'rsi': '0x5004d8b0a8', 'rdi': '0x0', 'eflags': '0x206'}
PROGRESS 3590006268 apis= 964 ready= False {'rip': '0x180220016', 'rsp': '0x7000ffde80', 'rbp': '0x8a1fc5de', 'rax': '0x8a1fc5de', 'rbx': '0xb9867f6f', 'rcx': '0x7000ffde80', 'rdx': '0x1802911af', 'rsi': '0x5004dcdedc', 'rdi': '0x0', 'eflags': '0x206'}
PROGRESS 3600006268 apis= 964 ready= False {'rip': '0x180220552', 'rsp': '0x7000ffde88', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x76df4c93', 'rdx': '0x1802911af', 'rsi': '0x5004e10d10', 'rdi': '0xffffffff75e03a26', 'eflags': '0x216'}
PROGRESS 3610006268 apis= 964 ready= False {'rip': '0x18021f335', 'rsp': '0x7000ffde88', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x131a3b1', 'rdx': '0x1802911af', 'rsi': '0x5004e53b48', 'rdi': '0x0', 'eflags': '0x216'}
PROGRESS 3620006268 apis= 964 ready= False {'rip': '0x18021f33f', 'rsp': '0x7000ffde78', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x132af3e', 'rdx': '0x1802911af', 'rsi': '0x8', 'rdi': '0x7000ffde88', 'eflags': '0x202'}
PROGRESS 3630006268 apis= 964 ready= False {'rip': '0x18021f28e', 'rsp': '0x7000ffde80', 'rbp': '0x16d647014', 'rax': '0x975b3483', 'rbx': '0xb9867f6f', 'rcx': '0x133bacb', 'rdx': '0x1802911af', 'rsi': '0x161f64cf', 'rdi': '0x0', 'eflags': '0x212'}
PROGRESS 3640006268 apis= 964 ready= False {'rip': '0x18021f7c0', 'rsp': '0x7000ffde90', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x134c659', 'rdx': '0x1802911af', 'rsi': '0x5004f1c5e4', 'rdi': '0x0', 'eflags': '0x212'}
PROGRESS 3650006268 apis= 964 ready= False {'rip': '0x18021e881', 'rsp': '0x7000ffde90', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0xf6a4ff40', 'rdx': '0x1802911af', 'rsi': '0x5004f5f418', 'rdi': '0x0', 'eflags': '0x212'}
PROGRESS 3660006268 apis= 964 ready= False {'rip': '0x18021eb25', 'rsp': '0x7000ffde90', 'rbp': '0x8a1fc5de', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x16d647014', 'rdx': '0x1802911af', 'rsi': '0x5004fa224c', 'rdi': '0x0', 'eflags': '0x216'}
PROGRESS 3670006268 apis= 964 ready= False {'rip': '0x18021ece9', 'rsp': '0x7000ffde98', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x4', 'rdx': '0x1802911af', 'rsi': '0x5004fe5084', 'rdi': '0x0', 'eflags': '0x206'}
PROGRESS 3680006268 apis= 964 ready= False {'rip': '0x18021ea59', 'rsp': '0x7000ffde88', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x138f48d', 'rdx': '0x1802911af', 'rsi': '0x5005027eb8', 'rdi': '0x0', 'eflags': '0x202'}
PROGRESS 3690006268 apis= 964 ready= False {'rip': '0x18021f358', 'rsp': '0x7000ffde88', 'rbp': '0x16d647014', 'rax': '0xd71a8538', 'rbx': '0xb9867f6f', 'rcx': '0x13a001a', 'rdx': '0x1802911af', 'rsi': '0x161f64cf', 'rdi': '0x0', 'eflags': '0x283'}
PROGRESS 3700006268 apis= 964 ready= False {'rip': '0x18021f3fa', 'rsp': '0x7000ffde90', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x13b0ba7', 'rdx': '0x1802911af', 'rsi': '0x1', 'rdi': '0x0', 'eflags': '0x202'}
PROGRESS 3710006268 apis= 964 ready= False {'rip': '0x18021f7e5', 'rsp': '0x7000ffde90', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x13c1735', 'rdx': '0x1802911af', 'rsi': '0x50050f0954', 'rdi': '0x0', 'eflags': '0x207'}
PROGRESS 3720006268 apis= 964 ready= False {'rip': '0x18021ff54', 'rsp': '0x7000ffde90', 'rbp': '0x30', 'rax': '0x8a1fc5de', 'rbx': '0xb9867f6f', 'rcx': '0x16d647014', 'rdx': '0x1802911af', 'rsi': '0x5005133788', 'rdi': '0x0', 'eflags': '0x206'}
PROGRESS 3730006268 apis= 964 ready= False {'rip': '0x18021eb48', 'rsp': '0x7000ffde90', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0xc268003f', 'rdx': '0x1802911af', 'rsi': '0x50051765bc', 'rdi': '0xffffffff75e03a26', 'eflags': '0x216'}
PROGRESS 3740006268 apis= 964 ready= False {'rip': '0x18021e83e', 'rsp': '0x7000ffde98', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x13f39dc', 'rdx': '0x1802911af', 'rsi': '0x50051b93f4', 'rdi': '0x0', 'eflags': '0x213'}
PROGRESS 3750006268 apis= 964 ready= False {'rip': '0x1802207c3', 'rsp': '0x7000ffde80', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x1404569', 'rdx': '0x1802911af', 'rsi': '0x161f64cf', 'rdi': '0x7000ffde88', 'eflags': '0x206'}
PROGRESS 3760006268 apis= 964 ready= False {'rip': '0x18021f37f', 'rsp': '0x7000ffde78', 'rbp': '0x16d647014', 'rax': '0x975b3483', 'rbx': '0xb9867f6f', 'rcx': '0x14150f6', 'rdx': '0x1802911af', 'rsi': '0x161f64cf', 'rdi': '0x0', 'eflags': '0x202'}
PROGRESS 3770006268 apis= 964 ready= False {'rip': '0x18021f422', 'rsp': '0x7000ffde98', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x5f877b7a', 'rdx': '0x1802911af', 'rsi': '0x1', 'rdi': '0x0', 'eflags': '0xa02'}
PROGRESS 3780006268 apis= 964 ready= False {'rip': '0x18021f9ac', 'rsp': '0x7000ffde90', 'rbp': '0x16d647014', 'rax': '0x30', 'rbx': '0xb9867f6f', 'rcx': '0x76bf5d65', 'rdx': '0x1802911af', 'rsi': '0x7fe5a1db', 'rdi': '0x0', 'eflags': '0x206'}
PROGRESS 3790006268 apis= 964 ready= False {'rip': '0x18022001e', 'rsp': '0x7000ffde80', 'rbp': '0x8a1fc5de', 'rax': '0x8a1fc5de', 'rbx': '0xb9867f6f', 'rcx': '0x7000ffde90', 'rdx': '0x1802911af', 'rsi': '0x5005307af8', 'rdi': '0x0', 'eflags': '0x216'}
