page_va,executable,before_sha256,after_sha256,before_nonzero,after_nonzero,change_reason,before_permissions,permissions
0x101ab000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,b469509901087f2182c306c25041bf8d462332680deb7c94851128a13e4d15e8,False,True,executable_page_changed,7,7
0x101ac000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,e628ab937a4ee83188261b3dd00fa9e8dd45932286a768d981627877f550d4db,False,True,executable_page_changed,7,7
0x101ad000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,b24e857bbe4f1534157d47f61a06642ebed2f069f0b82351535cc152a5705524,False,True,executable_page_changed,7,7
0x101ae000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,ea1006560ee3e2e6438c4b9a123269a9512c5c4d995073e71f97b6278bfc3ffa,False,True,executable_page_changed,7,7
0x101af000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,39ff05fb4183341ba3961fa040082616f6de6371cf568e9ee5b9d17a486e6263,False,True,executable_page_changed,7,7
0x101b0000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,8d4cc1acc432c080b49b9616344bea2bb87911f69ffabf43f89bdade3a3f99a1,False,True,executable_page_changed,7,7
0x101b1000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,f5e477c5034327cbdf5c66a9ae1cc86632684d5fc53fdee2de5bbb12d1290cff,False,True,executable_page_changed,7,7
0x101b2000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,c9d40bce8880dac91f46ac8db9af8522f27db5fdf1e67d6da0dff7f4493f75c7,False,True,executable_page_changed,7,7
0x101b3000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,34e526b3687e276be3c65b1e0884391562589776d6da923ddcdcfefb80f2452e,False,True,executable_page_changed,7,7
0x101b4000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,722a8bf11af3e2d07eb8bea27cb2e631e153163871c38438c204fe58c1677fd5,False,True,executable_page_changed,7,7
0x101b5000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,db610e488125fd073b3abbbd37696b7b90a74d6f641dc71a86e019f49a7ebff1,False,True,executable_page_changed,7,7
0x101b6000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,c464cf14854682786606ded0dc8600c706c6a89c25b923791df248953e304cfb,False,True,executable_page_changed,7,7
0x101b7000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,61362a5e728240f1756b9d5507979cb67af35c5c60b3a03db80f2ad633133f3d,False,True,executable_page_changed,7,7
0x101b8000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,03b0271b0da7c7b38fc08655e9d5e57bb91e6d97181de339717e1c3fc460817b,False,True,executable_page_changed,7,7
0x101b9000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,433bd9c6ef943d5e6869cf927363812cd9065b80f3443a52d50f3520ae76c95f,False,True,executable_page_changed,7,7
0x101ba000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,afb387e5a600c4f3ef06adae1b3ac02a76445f4d0e48905b0042e6e19374deb5,False,True,executable_page_changed,7,7
0x101bb000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,2e224dc1324d0ce3f02720a50eacd675756e288b0325b221375e91d59184af14,False,True,executable_page_changed,7,7
0x101bc000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,90289523fb71275b33faf138f8eb43e8068c1ee9701321547d58e7a186e6cdda,False,True,executable_page_changed,7,7
0x101bd000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,6a5b346c62c8cdf07a6c75e58367ffb528bf8018bd29afc6608d4bdbcc70e192,False,True,executable_page_changed,7,7
0x101be000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,7fb2d1e511c75f7d55ea6f805d107b98d38df23ce1a8ca48956474d982cae88a,False,True,executable_page_changed,7,7
0x101bf000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,6fe3df01ca810c0b832598b902f6d887baf43012ea1bf18217bf5baa533fddf4,False,True,executable_page_changed,7,7
0x101c0000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,c3f61dbf70dfde7f26674a6853ab7a4eb37ac5f7628f7b2452038b606e7a76a1,False,True,executable_page_changed,7,7
0x101c1000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,a6f6174745e118a382f28ab66ae6318e6188511fc686abbebc0fbb1de9c9ca43,False,True,executable_page_changed,7,7
0x101c2000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,daec9df0612a6a526ef7682595600880188a1bf3fe93337df2040853442c6a60,False,True,executable_page_changed,7,7
0x101c3000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,b7da66d2229341836e952b1d67db047ff238dcbf282541354d2743844d081659,False,True,executable_page_changed,7,7
0x101c4000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,3995f8578e81cc57792ea8771f53115becac54bd8be9d0f7941cf6788d4ebb03,False,True,executable_page_changed,7,7
0x101c5000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,01648a063d8f3ca07ab1e589453fa06c852dd173891a98587036b9882c5f3d72,False,True,executable_page_changed,7,7
0x101c6000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,c8f86599346c5de07f5f2a8d4886f3fba8c55fed35fdee460da2aaaf1e41bb14,False,True,executable_page_changed,7,7
0x101c7000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,b09b97cf625294c62e7c348bdf854c747f1281f82d4aa1e9139e5d0a31749ba1,False,True,executable_page_changed,7,7
0x101c8000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,de834b8834a15ef33e33e4d38ec1985927c8f1eeb60b794da41da6c4f79f4031,False,True,executable_page_changed,7,7
