equation_id,frames,coverage,invalid_lengths,resync_distance,tail,score,survives_train,confidence,reason
eq00151,33,0.9988,651,651,89,73.626,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00158,33,0.9988,651,651,89,73.626,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01552,43,0.9973,621,621,203,73.596,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01840,43,0.9973,621,621,204,73.596,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02128,43,0.9973,621,621,205,73.596,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02344,43,0.9973,621,621,206,73.596,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00832,43,0.9973,622,622,203,73.594,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01120,43,0.9973,622,622,204,73.594,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01336,43,0.9973,622,622,205,73.594,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00400,43,0.9973,623,623,203,73.592,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00406,43,0.9973,623,623,203,73.592,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00616,43,0.9973,623,623,204,73.592,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00622,43,0.9973,623,623,204,73.592,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00184,43,0.9973,624,624,203,73.59,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00191,43,0.9973,624,624,203,73.59,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01527,39,0.9989,672,672,85,73.59,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01815,39,0.9989,672,672,86,73.59,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00808,39,0.9989,673,673,85,73.588,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01096,39,0.9989,673,673,86,73.588,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00377,39,0.9989,674,674,85,73.586,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00593,39,0.9989,674,674,86,73.586,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00162,39,0.9989,675,675,85,73.584,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02103,39,0.9988,672,672,87,73.584,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02319,39,0.9988,672,672,88,73.584,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01312,39,0.9988,673,673,87,73.582,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01528,36,0.9985,682,682,117,73.546,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00809,36,0.9985,683,683,117,73.544,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00378,36,0.9985,684,684,117,73.542,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01816,36,0.9984,682,682,118,73.54,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02104,36,0.9984,682,682,119,73.54,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02320,36,0.9984,682,682,120,73.54,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01097,36,0.9984,683,683,118,73.538,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01313,36,0.9984,683,683,119,73.538,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
