marker_index,marker_text,marker_len_ascii,occurrence_index,flow_role,server_port,window_sec,packet_order,frame,time_delta_ms,direction,tcp_len,is_payload_packet,burst_group,reason
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,10,9,651,6683,S2C,15,true,post_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,10,10,653,7656,S2C,70,true,post_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,chat_sidechannel_candidate,10242,3,1,645,2151,S2C,205,true,post_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,chat_sidechannel_candidate,10242,10,1,629,-6235,C2S,22,true,pre_c2s,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,chat_sidechannel_candidate,10242,10,2,645,2151,S2C,205,true,post_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,chat_sidechannel_candidate,10242,10,3,647,3765,C2S,22,true,post_c2s,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,3,1,698,-620,S2C,21,true,near_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,3,2,700,-612,S2C,15,true,near_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,3,3,702,-568,S2C,133,true,near_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,3,4,706,373,S2C,70,true,near_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,10,1,682,-6623,S2C,21,true,pre_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,10,2,684,-6603,S2C,15,true,pre_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,10,3,686,-5629,S2C,70,true,pre_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,10,4,688,-5610,S2C,217,true,pre_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,10,5,698,-620,S2C,21,true,near_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,10,6,700,-612,S2C,15,true,near_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,10,7,702,-568,S2C,133,true,near_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,10,8,706,373,S2C,70,true,near_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,10,9,708,5373,S2C,21,true,post_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,10,10,710,5399,S2C,15,true,post_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,10,11,712,6375,S2C,70,true,post_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,world_game_candidate,7780,10,12,716,9838,S2C,133,true,post_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,chat_sidechannel_candidate,10242,3,1,694,-2640,S2C,237,true,pre_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,chat_sidechannel_candidate,10242,3,2,696,-2520,S2C,131,true,pre_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,chat_sidechannel_candidate,10242,3,3,704,299,S2C,179,true,near_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,chat_sidechannel_candidate,10242,10,1,690,-4737,S2C,207,true,pre_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,chat_sidechannel_candidate,10242,10,2,692,-3542,C2S,22,true,pre_c2s,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,chat_sidechannel_candidate,10242,10,3,694,-2640,S2C,237,true,pre_s2c,safe packet-window metadata only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,51,1,chat_sidechannel_candidate,10242,10,4,696,-2520,S2C,131,true,pre_s2c,safe packet-window metadata only
