frame,time_local,direction,src_ip,src_port,dst_ip,dst_port,tcp_len,near_marker,role_guess
153,2026-07-13 17:27:59.245,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
154,2026-07-13 17:28:02.937,S2C,51.83.147.97,10242,192.168.178.127,57497,247,,chat_sidechannel_candidate
155,2026-07-13 17:28:02.937,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
156,2026-07-13 17:28:05.427,S2C,51.83.147.97,10242,192.168.178.127,57497,223,,chat_sidechannel_candidate
157,2026-07-13 17:28:05.427,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
158,2026-07-13 17:28:05.611,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
159,2026-07-13 17:28:05.640,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
160,2026-07-13 17:28:15.611,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
161,2026-07-13 17:28:15.641,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
162,2026-07-13 17:28:25.612,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
163,2026-07-13 17:28:25.641,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
164,2026-07-13 17:28:35.612,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
165,2026-07-13 17:28:35.641,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
166,2026-07-13 17:28:45.613,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
167,2026-07-13 17:28:45.641,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
168,2026-07-13 17:28:53.441,S2C,51.83.147.97,10242,192.168.178.127,57497,133,,chat_sidechannel_candidate
169,2026-07-13 17:28:53.441,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
170,2026-07-13 17:28:55.613,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
171,2026-07-13 17:28:55.642,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
172,2026-07-13 17:29:05.614,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
173,2026-07-13 17:29:05.642,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
174,2026-07-13 17:29:15.615,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
175,2026-07-13 17:29:15.643,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
