oracle_id,channel,flow_role,server_port,direction,window_sec,first_frame,last_frame,packet_count,total_bytes,stream_offset_start,stream_offset_end,largest_packet_len,confidence,reason
o013,group,event_side,10242,S2C,nearest,832,832,1,101,5943,6044,101,high,oracle stream window metadata only
o013,group,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o013,group,event_side,10242,S2C,3,832,832,1,101,5943,6044,101,high,oracle stream window metadata only
o013,group,event_side,10242,S2C,5,832,832,1,101,5943,6044,101,high,oracle stream window metadata only
o013,group,event_side,10242,S2C,10,832,832,1,101,5943,6044,101,high,oracle stream window metadata only
o013,group,event_side,10242,C2S,nearest,836,836,1,22,1562,1584,22,high,oracle stream window metadata only
o013,group,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o013,group,event_side,10242,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o013,group,event_side,10242,C2S,5,836,836,1,22,1562,1584,22,high,oracle stream window metadata only
o013,group,event_side,10242,C2S,10,830,836,2,44,1540,1584,22,high,oracle stream window metadata only
o014,group,world,7780,S2C,nearest,838,838,1,119,150082,150201,119,high,oracle stream window metadata only
o014,group,world,7780,S2C,1,838,838,1,119,150082,150201,119,high,oracle stream window metadata only
o014,group,world,7780,S2C,3,838,838,1,119,150082,150201,119,high,oracle stream window metadata only
o014,group,world,7780,S2C,5,838,838,1,119,150082,150201,119,high,oracle stream window metadata only
o014,group,world,7780,S2C,10,834,838,2,238,149963,150201,119,high,oracle stream window metadata only
o014,group,world,7780,C2S,nearest,816,816,1,9,489,498,9,high,oracle stream window metadata only
o014,group,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o014,group,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o014,group,world,7780,C2S,5,,,0,0,,,,high,oracle stream window metadata only
o014,group,world,7780,C2S,10,,,0,0,,,,high,oracle stream window metadata only
o014,group,event_side,10242,S2C,nearest,832,832,1,101,5943,6044,101,high,oracle stream window metadata only
o014,group,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o014,group,event_side,10242,S2C,3,,,0,0,,,,high,oracle stream window metadata only
o014,group,event_side,10242,S2C,5,,,0,0,,,,high,oracle stream window metadata only
o014,group,event_side,10242,S2C,10,832,832,1,101,5943,6044,101,high,oracle stream window metadata only
o014,group,event_side,10242,C2S,nearest,836,836,1,22,1562,1584,22,high,oracle stream window metadata only
o014,group,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o014,group,event_side,10242,C2S,3,836,836,1,22,1562,1584,22,high,oracle stream window metadata only
o014,group,event_side,10242,C2S,5,836,836,1,22,1562,1584,22,high,oracle stream window metadata only
o014,group,event_side,10242,C2S,10,836,840,2,44,1562,1606,22,high,oracle stream window metadata only
o015,group,world,7780,S2C,nearest,846,846,1,135,150217,150352,135,high,oracle stream window metadata only
o015,group,world,7780,S2C,1,846,846,1,135,150217,150352,135,high,oracle stream window metadata only
o015,group,world,7780,S2C,3,846,846,1,135,150217,150352,135,high,oracle stream window metadata only
o015,group,world,7780,S2C,5,846,846,1,135,150217,150352,135,high,oracle stream window metadata only
o015,group,world,7780,S2C,10,844,850,3,286,150201,150487,135,high,oracle stream window metadata only
o015,group,world,7780,C2S,nearest,870,870,1,56,498,554,56,high,oracle stream window metadata only
o015,group,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o015,group,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o015,group,world,7780,C2S,5,,,0,0,,,,high,oracle stream window metadata only
o015,group,world,7780,C2S,10,,,0,0,,,,high,oracle stream window metadata only
o015,group,event_side,10242,S2C,nearest,860,860,1,125,6044,6169,125,high,oracle stream window metadata only
o015,group,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o015,group,event_side,10242,S2C,3,,,0,0,,,,high,oracle stream window metadata only
o015,group,event_side,10242,S2C,5,,,0,0,,,,high,oracle stream window metadata only
o015,group,event_side,10242,S2C,10,,,0,0,,,,high,oracle stream window metadata only
o015,group,event_side,10242,C2S,nearest,848,848,1,22,1628,1650,22,high,oracle stream window metadata only
o015,group,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o015,group,event_side,10242,C2S,3,848,848,1,22,1628,1650,22,high,oracle stream window metadata only
o015,group,event_side,10242,C2S,5,848,848,1,22,1628,1650,22,high,oracle stream window metadata only
o015,group,event_side,10242,C2S,10,842,848,2,44,1606,1650,22,high,oracle stream window metadata only
o016,group,world,7780,S2C,nearest,850,850,1,135,150352,150487,135,high,oracle stream window metadata only
o016,group,world,7780,S2C,1,850,850,1,135,150352,150487,135,high,oracle stream window metadata only
o016,group,world,7780,S2C,3,850,850,1,135,150352,150487,135,high,oracle stream window metadata only
o016,group,world,7780,S2C,5,850,854,3,352,150352,150704,186,high,oracle stream window metadata only
