packet_no,anchor_packet_no,tcp_stream,direction,payload_len,payload_hex,key_name,key8_hex,order_variant,status,length_le,length_sane,opcode_hex,opcode_complement_ok,utf16le_or_ascii_containment,matched_messages,decoded_prefix_hex,decoded_prefix_ascii,notes
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_be,a2c5903987546ca1,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_be,a2c5903987546ca1,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_be,a2c5903987546ca1,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_be,a2c5903987546ca1,XORpass_only_offset_0_preupdate_0,tested,51985,no,49,no,no,,11cb497c5a69d78e5c,..I|Zi..\,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_be,a2c5903987546ca1,XORpass_only_offset_2_preupdate_0,tested,63155,no,C2,no,no,,b3f6c2e455481f49d6,....UH.I.,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_be,a2c5903987546ca1,XORpass_only_offset_0_preupdate_1,tested,51992,no,49,no,no,,18cb497c5a69d78e55,..I|Zi..U,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_be,a2c5903987546ca1,XORpass_only_offset_2_preupdate_1,tested,63155,no,C9,no,no,,b3f6c9e455481f49d6,....UH.I.,public staticKey XORpass only
9817,9741,105,S2C,9,413f43ba216b8730c7,seed_le_tail_le,3990c5a2a16c5487,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9817,9741,105,S2C,9,413f43ba216b8730c7,seed_le_tail_le,3990c5a2a16c5487,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9817,9741,105,S2C,9,413f43ba216b8730c7,seed_le_tail_le,3990c5a2a16c5487,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9817,9741,105,S2C,9,413f43ba216b8730c7,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_0_preupdate_0,tested,42360,no,F6,no,no,,78a5f6746d45cc61fe,x..tmE.a.,public staticKey XORpass only
9817,9741,105,S2C,9,413f43ba216b8730c7,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_2_preupdate_0,tested,16193,no,7A,no,no,,413f7a2211c71ab8d7,"A?z"".....",public staticKey XORpass only
9817,9741,105,S2C,9,413f43ba216b8730c7,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_0_preupdate_1,tested,42243,no,F6,no,no,,03a5f6746d45cc6185,...tmE.a.,public staticKey XORpass only
9817,9741,105,S2C,9,413f43ba216b8730c7,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_2_preupdate_1,tested,16193,no,03,no,no,,413f032211c71ab8d7,"A?."".....",public staticKey XORpass only
9817,9741,105,S2C,9,413f43ba216b8730c7,seed_be_tail_le,a2c59039a16c5487,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9817,9741,105,S2C,9,413f43ba216b8730c7,seed_be_tail_le,a2c59039a16c5487,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9817,9741,105,S2C,9,413f43ba216b8730c7,seed_be_tail_le,a2c59039a16c5487,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9817,9741,105,S2C,9,413f43ba216b8730c7,seed_be_tail_le,a2c59039a16c5487,XORpass_only_offset_0_preupdate_0,tested,61667,no,A3,no,no,,e3f0a3ef6d45cc6165,....mE.ae,public staticKey XORpass only
